RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,Which of the following Star Wars films have you seen? Please select all that apply,Respondents who watched The Phantom Menace,Respondents who watched Attack of the Clones,Respondents who watched Revenge of the Sith,Respondents who watched A New Hope,Respondents who watched The Empire Strikes Back,Respondents who watched Return of the Jedi,Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film.,Rank_Star Wars: Episode I  The Phantom Menace,Rank_Star Wars: Episode II  Attack of the Clones,Rank_Star Wars: Episode III  Revenge of the Sith,Rank_Star Wars: Episode IV  A New Hope,Rank_Star Wars: Episode V The Empire Strikes Back,Rank_Star Wars: Episode VI Return of the Jedi,"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her.",Han Solo,Luke Skywalker,Princess Leia Organa,Anakin Skywalker,Obi Wan Kenobi,Emperor Palpatine,Darth Vader,Lando Calrissian,Boba Fett,C-3P0,R2 D2,Jar Jar Binks,Padme Amidala,Yoda,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region),missing
3292765271,1,0,3,1,2,3,-1,-1,-1,,1,2,3,4,5,6,,5,5,5,5,5,1,1,1,1,1,1,1,1,1,3,0,-1,0,0,1,1,2,8,4
3292763116,1,1,6,1,2,3,4,5,6,,5,6,1,2,4,3,,6,6,6,6,6,5,6,5,3,6,6,6,6,6,3,0,-1,1,0,1,4,3,8,1
3292731220,1,1,6,1,2,3,4,5,6,,5,4,6,2,1,3,,6,5,5,3,6,2,5,4,6,5,5,2,5,5,1,1,0,0,0,1,4,3,8,0
3292719380,1,1,6,1,2,3,4,5,6,,1,4,3,6,5,2,,6,6,6,6,6,4,6,4,5,5,5,5,4,6,2,1,0,1,0,1,2,4,3,0
3292654043,1,1,6,1,2,3,4,5,6,,5,4,6,2,1,3,,6,3,5,5,5,6,6,6,6,4,5,2,3,5,2,0,-1,0,0,1,1,3,7,1
3292640424,1,0,1,-1,2,-1,-1,-1,-1,,1,2,3,4,5,6,,4,6,6,6,6,3,6,3,3,6,6,6,3,6,3,0,-1,0,0,1,2,3,6,6
3292609214,1,0,6,1,2,3,4,5,6,,3,4,5,6,1,2,,5,6,5,5,5,5,6,4,5,6,6,6,5,6,1,0,-1,0,0,1,2,4,7,1
3292596911,1,1,6,1,2,3,4,5,6,,4,5,6,2,3,1,,6,6,6,5,6,1,2,1,4,6,6,1,6,6,3,0,-1,0,0,2,3,5,4,1
3292583038,1,1,6,1,2,3,4,5,6,,4,6,5,3,1,2,,6,5,5,3,6,5,6,5,6,3,4,2,2,5,2,1,1,1,0,1,1,3,9,0
3292580516,1,1,1,-1,-1,-1,4,-1,-1,,4,1,2,3,5,6,,4,5,3,4,2,5,3,4,5,4,3,4,3,2,2,1,1,0,0,1,3,4,5,5
3292562297,1,1,6,1,2,3,4,5,6,,6,5,1,4,3,2,,6,5,6,6,5,3,6,2,6,5,6,3,6,6,1,0,-1,1,0,1,3,3,8,1
3292511801,1,1,6,1,2,3,4,5,6,,6,5,4,3,1,2,,6,6,6,4,6,2,5,5,3,6,6,2,4,6,1,1,1,1,0,1,3,4,7,0
3292483200,1,1,6,1,2,3,4,5,6,,6,1,4,2,3,5,,6,5,5,3,5,5,6,4,4,5,6,5,4,6,2,0,-1,0,0,1,1,4,6,1
3292420123,1,1,6,1,2,3,4,5,6,,4,6,5,2,3,1,,6,5,5,5,6,5,5,5,6,6,6,2,5,6,1,1,0,0,0,1,4,3,7,0
3292376985,1,1,6,1,2,3,4,5,6,,4,6,5,2,1,3,,6,6,6,2,6,6,6,6,6,6,6,1,2,6,2,1,1,1,0,1,5,3,1,0
3292366792,1,0,6,1,2,3,4,5,6,,4,3,5,6,2,1,,4,4,4,4,5,1,5,5,5,5,5,3,1,5,3,0,-1,0,0,2,1,2,5,1
3292339379,1,1,6,1,2,3,4,5,6,,6,5,4,2,1,3,,6,6,6,6,6,6,6,6,6,6,6,2,6,6,2,1,1,1,0,2,3,3,8,0
3292318652,1,0,2,-1,2,3,-1,-1,-1,,6,1,2,3,4,5,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,0,0,1,3,2,4,19
3292290677,1,1,6,1,2,3,4,5,6,,6,3,4,1,2,5,,6,6,6,6,6,5,5,4,6,6,6,2,6,6,2,0,-1,0,0,2,5,5,1,1
3292281095,1,1,6,1,2,3,4,5,6,,3,2,1,4,6,5,,5,4,4,6,5,4,5,4,4,4,4,4,4,4,1,0,-1,0,0,1,1,4,8,1
3292264069,1,1,6,1,2,3,4,5,6,,6,3,5,1,4,2,,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,1,0,1,0,2,3,4,3,0
3292257520,1,1,6,1,2,3,4,5,6,,4,5,6,3,2,1,,6,6,6,5,6,3,6,5,6,6,6,4,6,6,1,1,1,1,0,2,1,2,8,0
3292249492,1,1,6,1,2,3,4,5,6,,5,6,2,3,4,1,,6,6,6,4,6,5,6,6,4,6,6,2,4,6,2,0,-1,1,0,2,4,5,3,1
3292222729,1,1,6,1,2,3,4,5,6,,6,5,4,2,1,3,,6,6,6,5,6,5,6,6,6,5,5,5,5,6,2,1,1,0,0,2,4,5,6,0
3292221635,1,1,6,1,2,3,4,5,6,,5,6,4,2,1,3,,6,6,6,5,6,5,5,5,6,3,5,2,5,4,1,1,1,0,0,1,2,4,8,0
3292218251,1,1,6,1,2,3,4,5,6,,6,5,4,2,1,3,,6,6,6,5,6,5,6,5,5,6,6,2,6,6,2,1,1,1,0,1,5,4,6,0
3292214307,1,1,6,1,2,3,4,5,6,,5,6,4,3,2,1,,6,6,6,5,5,5,5,5,5,5,5,4,3,5,2,1,0,0,0,1,2,2,5,0
3292189580,1,1,6,1,2,3,4,5,6,,5,4,6,3,1,2,,6,6,6,3,6,2,2,3,2,6,6,6,6,6,2,1,1,1,0,2,3,3,8,0
3292187343,1,0,6,1,2,3,4,5,6,,6,5,4,1,2,3,,6,6,6,4,5,1,3,1,3,5,5,2,4,6,1,0,-1,0,0,1,3,3,6,1
3292178389,1,1,4,1,-1,-1,4,5,6,,4,6,5,3,1,2,,6,5,6,5,6,5,6,4,6,4,6,2,5,6,1,0,-1,1,0,1,3,4,4,3
3292173922,1,1,6,1,2,3,4,5,6,,4,5,1,6,2,3,,6,6,6,6,6,5,6,6,5,5,6,5,5,6,3,0,-1,1,0,2,3,3,9,1
3292167131,1,1,6,1,2,3,4,5,6,,5,6,4,2,1,3,,6,6,6,5,5,5,5,5,5,5,5,3,2,5,2,1,0,0,0,1,2,2,5,0
3292162057,1,1,6,1,2,3,4,5,6,,6,5,4,2,1,3,,6,5,5,5,6,5,6,5,6,4,5,1,4,5,1,0,-1,0,0,1,4,3,4,1
3292156614,1,1,6,1,2,3,4,5,6,,4,6,5,2,1,3,,6,6,6,5,6,6,6,6,6,6,6,2,5,6,2,0,-1,0,0,1,5,4,9,1
3292148570,1,1,6,1,2,3,4,5,6,,6,4,5,3,1,2,,6,5,5,4,4,4,5,4,5,6,5,2,3,5,2,0,-1,1,0,1,3,5,8,1
3292144665,1,1,6,1,2,3,4,5,6,,6,4,5,3,1,2,,6,6,6,2,6,5,6,6,6,6,6,2,6,6,2,1,1,0,0,1,1,2,5,0
3292143503,1,0,5,1,2,-1,4,5,6,,5,4,6,1,3,2,,5,5,5,5,6,1,2,1,6,3,6,2,5,5,3,0,-1,0,0,1,3,4,6,2
3292131636,1,1,6,1,2,3,4,5,6,,5,6,2,3,1,4,,6,6,6,3,5,4,6,3,6,2,5,1,4,4,1,1,0,0,0,1,5,4,6,0
3292125068,1,1,1,-1,-1,-1,4,-1,-1,,1,2,3,4,5,6,,-1,3,5,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,1,0,2,4,5,6,17
3292120160,1,1,6,1,2,3,4,5,6,,4,5,6,2,1,3,,6,6,6,5,6,5,6,6,6,5,6,4,4,6,2,1,1,0,0,1,4,3,5,0
3292103680,1,1,6,1,2,3,4,5,6,,6,5,4,2,1,3,,6,6,6,3,6,2,3,3,3,6,6,2,5,6,1,0,-1,0,0,2,3,3,6,1
3292050153,1,0,6,1,2,3,4,5,6,,1,2,3,4,5,6,,5,5,5,5,6,1,6,4,4,4,5,4,4,5,3,0,-1,0,0,1,1,3,6,1
3292041365,1,1,6,1,2,3,4,5,6,,6,5,4,2,1,3,,5,4,5,4,5,3,6,5,6,5,6,3,5,6,2,1,1,1,0,1,5,3,2,0
3292033243,1,1,6,1,2,3,4,5,6,,6,1,5,3,4,2,,6,6,6,5,6,6,6,6,6,6,6,3,5,6,1,1,1,0,0,1,3,3,7,0
